證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1101,台泥,14976358,6592,643570905,43,43.15,42.85,43.15,+,0.15,43.1,3,43.15,80,10.32
1102,亞泥,7837392,4521,358910560,45.5,46,45.4,45.85,+,0.2,45.8,7,45.85,333,12.7
1103,嘉泥,1127071,366,18925281,16.95,17,16.65,16.8,-,0.1,16.75,10,16.8,20,16
1104,環泥,116331,68,2263420,19.5,19.5,19.4,19.45,-,0.05,19.4,56,19.5,27,10.51
1108,幸福,91002,28,626593,6.87,6.94,6.87,6.89,-,0.03,6.89,1,6.9,3,0
1109,信大,607738,306,11091377,18.3,18.4,18.1,18.4, ,0,18.3,20,18.4,5,7.45
1110,東泥,16000,10,258200,16.15,16.2,16.05,16.2,+,0.15,16.05,55,16.2,7,115.71
1201,味全,2540638,1103,74195377,29.05,29.35,28.9,29.3,+,0.2,29.25,4,29.3,82,7.47
1203,味王,72341,41,1896498,26.2,26.4,26.15,26.3, ,0,26.2,5,26.4,3,13.08
1210,大成,1576129,968,61540754,39.05,39.2,38.8,39.05, ,0,39.05,584,39.1,22,17.13
1215,卜蜂,2142746,1095,137834110,64.6,65.3,63.4,63.7,-,0.7,63.7,6,63.8,1,18.36
1216,統一,5519941,2504,447514711,80.8,81.4,80.6,81.2,-,0.3,81.2,1,81.3,113,25.06
1217,愛之味,473967,205,3367598,7.13,7.14,7.08,7.11,-,0.02,7.1,9,7.11,35,142.2
1218,泰山,2739854,1084,58501948,21.9,21.9,21,21.2,-,0.7,21.15,74,21.2,35,20.99
1219,福壽,18933,17,340689,17.95,18.1,17.9,18.1, ,0,17.9,8,18.1,38,0
1220,台榮,11000,5,122800,11.15,11.2,11.15,11.2, ,0,11.1,20,11.2,12,28.72
1225,福懋油,41,10,2969,--,--,--,--, ,0,71.5,2,72.5,5,62.61
1227,佳格,2473508,1682,143599399,59.4,59.4,57.4,57.4,-,2.3,57.4,19,57.5,14,17.39
1229,聯華,1852728,1028,66558058,36.3,36.3,35.8,35.9,-,0.45,35.9,24,35.95,31,12.6
1231,聯華食,174372,140,7696282,44.5,44.5,44,44.05,-,0.45,44.05,44,44.1,2,14.16
1232,大統益,53208,64,6055920,115,115,113.5,114,-,1,113.5,7,114,2,18.12
1233,天仁,21195,18,815376,38.5,38.6,38.35,38.6,+,0.05,38.6,4,38.65,1,19.4
1234,黑松,14365,15,467462,32.65,32.65,32.5,32.65, ,0,32.5,10,32.7,5,17.65
1235,興泰,15895,11,446089,28,28.2,27.85,28.2,-,0.15,28,2,28.3,2,39.72
1236,宏亞,10001,8,132213,13.2,13.25,13.2,13.25,+,0.05,13.2,10,13.3,4,0
1256,鮮活果汁-KY,85440,80,15547798,185,185,180,182.5,-,1.5,180.5,2,182.5,3,12.01
1262,綠悅-KY,242100,150,6665600,28.15,28.3,27,27.05,-,1.25,27.05,5,27.25,1,0
1301,台塑,3763913,1409,413653465,110,110.5,109.5,110, ,0,110,35,110.5,583,15.28
1303,南亞,7160680,1691,560994620,78.5,78.5,78.1,78.5, ,0,78.4,30,78.5,41,14.04
1304,台聚,540790,243,6387114,11.9,11.9,11.75,11.8,-,0.1,11.75,114,11.8,1,23.14
1305,華夏,909191,395,19860716,21.85,21.9,21.8,21.85, ,0,21.85,8,21.9,18,12.07
1307,三芳,191586,130,4688987,24.95,24.95,24.2,24.5,-,0.3,24.3,4,24.5,1,32.24
1308,亞聚,925902,419,12759350,13.9,13.95,13.6,13.7,-,0.35,13.65,11,13.7,3,22.46
1309,台達化,547645,211,5661274,10.4,10.4,10.3,10.35, ,0,10.3,70,10.35,116,15.92
1310,台苯,1023294,521,24585006,24.15,24.15,24,24.15,+,0.15,24.1,2,24.15,65,11.03
1312,國喬,4466782,1868,89840725,20.1,20.25,20,20.05, ,0,20.05,27,20.1,121,7.21
1313,聯成,673284,240,7523310,11.25,11.25,11.1,11.15,-,0.1,11.15,71,11.2,14,79.64
1314,中石化,8249200,1799,92634548,11.3,11.35,11.15,11.2,-,0.1,11.2,855,11.25,327,8.68
1315,達新,17000,15,534550,31.75,31.75,31.3,31.55,-,0.2,31.4,2,31.55,5,24.84
1316,上曜,218206,133,3281759,15.15,15.15,15,15.05,-,0.05,15,35,15.05,53,0
1319,東陽,631464,488,26737615,42.5,42.8,42.1,42.1,-,0.4,42.1,16,42.15,4,12.91
1321,大洋,235000,87,6628700,28.5,28.5,28.1,28.3,-,0.2,28.2,5,28.3,1,0
